高等学校,,,,,,,,
,,,,,,,,令和4年4月1日現在
,神奈川県立伊志田高等学校,いしだ,259-1116,伊勢原市石田1356-1,(0463)93-5613,(0463)96-2961,全日,普通
,神奈川県立中央農業高等学校,ちゅうおうのうぎょう,243-0422,海老名市中新田4-12-1,(046)231-5202,(046)231-1599,全日,園芸科学・畜産科学・農業総合
,神奈川県立海老名高等学校,えびな,243-0422,海老名市中新田1-26-1,(046)232-2231,(046)231-1762,全日,普通
,神奈川県立有馬高等学校,ありま,243-0424,海老名市社家5-27-1,(046)238-1333,(046)238-7980,全日,普通
,神奈川県立座間高等学校,ざま,252-0029,座間市入谷西5-11-1,(046)253-2011,(046)252-5452,全日,普通
,神奈川県立座間総合高等学校,ざまそうごう,252-0013,座間市栗原2487,(046)253-2920,(046)252-6020,全日単位,総合
,神奈川県立相模向陽館高等学校,さがみこうようかん,252-0003,座間市ひばりが丘3-58-1,(046)298-3455,(046)298-3458,定時単位,普通
,神奈川県立足柄高等学校,あしがら,250-0106,南足柄市怒田860,(0465)73-0010,(0465)73-3278,全日,普通
,神奈川県立綾瀬高等学校,あやせ,252-1134,綾瀬市寺尾南1-4-1,(0467)76-1400,(0467)76-8241,全日,普通
,神奈川県立綾瀬西高等学校,あやせにし,252-1123,綾瀬市早川1485-1,(0467)77-5121,(0467)76-8199,全日,普通
,神奈川県立寒川高等学校,さむかわ,253-0111,寒川町一之宮9-30-1,(0467)74-2312,(0467)74-9012,全日,普通
,神奈川県立大磯高等学校,おおいそ,255-0002,大磯町東町2-9-1,(0463)61-0058,(0463)61-7982,全日,普通
,神奈川県立二宮高等学校,にのみや,259-0134,二宮町一色1363,(0463)71-3215,(0463)73-3027,全日,普通
,神奈川県立大井高等学校,おおい,258-0017,大井町西大井984-1,(0465)83-4101,(0465)83-6222,全日,普通
,神奈川県立山北高等学校,やまきた,258-0111,山北町向原2370,(0465)75-0828,(0465)75-1770,全日,普通
,神奈川県立吉田島高等学校,よしだじま,258-0021,開成町吉田島281,(0465)82-0151,(0465)82-7684,全日単位,都市農業・食品加工・環境緑地・生活科学
,神奈川県立愛川高等学校,あいかわ,243-0308,愛川町三増822-1,(046)286-2871,(046)286-5494,全日,普通
