,ニュースリスト
1194,4126
1195,3135600
1196,4126
1197,2019-09-18
1198,4105
1199,4115
1200,4059
1201,4077
1202,2945600
1203,4077
1204,2019-09-19
1205,4082
1206,4140
1207,4055
1208,4065
1209,3394600
1210,4065
1211,2019-09-20
1212,4062
1213,4070
1214,3930
1215,3985
1216,5068000
1217,3985
1218,2019-09-24
1219,4030
1220,4108
1221,4028
1222,4090
1223,3929600
1224,4090
1225,2019-09-25
1226,4066
1227,4103
1228,4044
1229,4085
1230,2467300
1231,4085
1232,2019-09-26
1233,4150
1234,4158
1235,4074
1236,4092
1237,2895700
1238,4092
1239,2019-09-27
1240,4090
1241,4091
1242,4040
1243,4081
1244,2759700
1245,4081
1246,2019-09-30
1247,4032
1248,4049
1249,4017
1250,4023
1251,3186100
1252,4023
1253,2019-10-01
1254,4063
1255,4121
1256,4057
1257,4119
1258,2339100
1259,4119
1260,2019-10-02
1261,4035
1262,4073
1263,4031
1264,4073
1265,2748300
1266,4073
1267,2019-10-03
1268,3976
1269,4007
1270,3969
1271,4006
1272,2706500
1273,4006
1274,2019-10-04
1275,4022
1276,4026
1277,3987
1278,4013
1279,1946600
1280,4013
1281,2019-10-07
1282,4027
1283,4054
1284,3994
1285,4006
1286,1843100
1287,4006
1288,2019-10-08
1289,4025
1290,4035
1291,4005
1292,4012
1293,2068100
1294,4012
1295,2019-10-09
1296,3959
1297,3975
1298,3939
1299,3969
1300,2863400
1301,3969
1302,2019-10-10
1303,3954
1304,3957
1305,3895
1306,3931
1307,2660900
1308,3931
1309,2019-10-11
1310,3968
1311,4004
1312,3952
1313,4002
1314,2820200
1315,4002
1316,2019-10-15
1317,4072
1318,4142
1319,4070
1320,4109
1321,3736300
1322,4109
1323,2019-10-16
1324,4155
1325,4216
1326,4132
1327,4156
1328,4603300
1329,4156
1330,2019-10-17
1331,4100
1332,4188
1333,4100
1334,4184
1335,3478900
1336,4184
1337,2019-10-18
1338,4199
1339,4214
1340,4126
1341,4135
1342,3153000
1343,4135
